Folder|Nota Dinas|Title / Subject|Tanggal Terima
065MK05PS-33III2019|065/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Migration Roaming Prepaid Non-Rollover Ph2 (065/MK.05/PS-33/III/2019)|2019-03-19 21:29:32.651
037MK05PS-37III2019|037/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFS Paket Halo Kick HVC Fast Track (037/MK.05/PS-37/III/2019)|2019-03-20 18:06:07.459
036MK05PS-37III2019|036/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFI Paket Family Plan Cross Brand – Postpaid Parent (MyTsel) (036/MK.05/PS-37/III/2019)|2019-03-20 18:06:08.601
068MK05PS-33III2019|068/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RF1 Paket Roaming Prepaid Standalone API Digicore pada UMB (Promo Eropa Amerika, Asia Reguler, Eropa Reguler, Amerika Afrika, dan Haji) (068/MK.05/PS-33/III/2019)|2019-03-21 18:01:26.726
067MK05PS-33III2019|067/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Paket Roaming Prepaid Standalone API Digicore pada UMB (Umroh dan Promo Asia Australia) (067/MK.05/PS-33/III/2019)|2019-03-21 18:01:26.896
044MK05PS-03III2019|044/MK.05/PS-03/III/2019|[Nota Dinas] Permohonan Batch Remove Offer Old CLS kartuHalo B0/Karyawan (044/MK.05/PS-03/III/2019)|2019-03-27 16:09:40.508
045MK05PS-03III2019|045/MK.05/PS-03/III/2019|[Nota Dinas] Permohonan Batch Offer Bonus Spesial Migrasi dan Value CLS (045/MK.05/PS-03/III/2019)|2019-03-27 16:09:53.557
045MK05MK-01II2019|045/MK.05/MK-01/II/2019|Sosialisasi Perubahan Basic Tariff Voice Onnet di Madura dan Pantura Stage 1|2019-03-27 16:09:53.557
048MK05MK-01II2019|048/MK.05/MK-01/II/2019|Sosialisasi Program Quick-Win Family Plan|2019-03-27 16:09:53.557
070MK05PS-33III2019|070/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Fixing Postpaid Roaming Standalone Data Consumption Issue (070/MK.05/PS-33/III/2019)|2019-03-27 16:38:50.083
072MK05PS-33III2019|072/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFS Offer Diskon 2000K &amp; 4000K untuk Nomor Test (072/MK.05/PS-33/III/2019)|2019-03-29 11:09:40.592
071MK05PS-33III2019|071/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFS Paket Halo Kick Bank 100K &amp; 150K (071/MK.05/PS-33/III/2019)|2019-03-29 11:09:40.645
074MK05PS-33IV2019|074/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan RFI Fixing Postpaid Capped PAYU Data Roaming Singapore, Malaysia, Oman (074/MK.05/PS-33/IV/2019)|2019-04-01 10:24:28.731
073MK05PS-33IV2019|073/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan RFI Takeout Taiwan, Sri Lanka, Saudi Arabia dari Flat Call 007 (073/MK.05/PS-33/IV/2019)|2019-04-01 10:24:28.799
075MK05PS-33IV2019|075/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan Revisi RFS Paket Roamazing (075/MK.05/PS-33/IV/2019)|2019-04-01 11:46:37.488
041MK05PS-37IV2019|041/MK.05/PS-37/IV/2019|[Nota Dinas] Pemberitahuan RFS Paket Halo Kick Hybrid Enable (041/MK.05/PS-37/IV/2019)|2019-04-05 14:12:23.721
0332MK05PS-05IV2019|0332/MK.05/PS-05/IV/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Paket Halo Kick Bank 100K &amp; 150K (0332/MK.05/PS-05/IV/2019)|2019-04-05 14:12:23.775
077MK05PS-33IV2019|077/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan RFS OCS Turbo Charging Site Jakarta (TBS) untuk FUT Postpaid Ph1 PAYU and Basic Service (077/MK.05/PS-33/IV/2019)|2019-04-05 14:12:23.826
040MK05PS-37IV2019|040/MK.05/PS-37/IV/2019|[Nota Dinas] Pemberitahuan RFI Retail Bundling Samsung S10 (Flexible Offer) (040/MK.05/PS-37/IV/2019)|2019-04-05 14:12:23.876
0345MK05PS-05IV2019|0345/MK.05/PS-05/IV/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Takeout Taiwan, Sri Lanka, Saudi Arabia dari Flat Call 007 (0345/MK.05/PS-05/IV/2019)|2019-04-05 16:14:19.199
082MK05PS-33IV2019|082/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan Revisi RFS OCS Turbo Charging Site Jakarta (TBS) untuk FUT Postpaid Ph1 PAYU and Basic Service (082/MK.05/PS-33/IV/2019)|2019-04-08 23:12:06.646
081MK05PS-33IV2019|081/MK.05/PS-33/IV/2019|[Nota Dinas] Pemberitahuan Revisi RFS Paket Halo Kick HVC Bank 550K (OMSKe1Th2019) (081/MK.05/PS-33/IV/2019)|2019-04-08 23:12:06.777
0350MK05PS-05IV2019|0350/MK.05/PS-05/IV/2019|[Nota Dinas] Laporan Hasil Inspeksi (ITR)  Takeout Taiwan, Sri Lanka, Saudi Arabia dari Flat Call 007 (0350/MK.05/PS-05/IV/2019)|2019-04-08 23:12:06.876
